text,label
"@navreetsehgal Hi Navreet, we regret the inconvenience caused. Kindly DM us your vehicle variant &amp; location &amp; our team will contact you.",3
"@avishekkk21 Hi Abhishek, this is a fake letter. We are aware of the issue and have duly reported the same.",3
The Tata 1412 CRX has been fulfilling the requirements of transporters for the last 3 years. It is one of our best performing vehicles and offers lowest operating costs. #TataTrucks #DeshKeTruck https://t.co/lOdvG0NjoV,3
"@Deeviash49 Hi Deeviash, our team tried multiple attempts to contact you on the number provided however, the call went unanswered. If you require any further assistance, feel free to connect with them via the toll-free number 1800-209-7979 and they'll definitely assist you with it.",3
"On a busy day, the clutch can make you dance to its tunes through traffic. But, do you have to? Visit https://t.co/Iu9omfjS2E to #SkipTheClutch and get into a groove of effortless driving with Tigor Automatic (AMT)

#TheSedanForTheStars https://t.co/4JgZIgSzci",3
"The Signa 2823.K comes with a 230 HP ISBe 5.9 Engine that delivers 810Nm Torque  
@ 1000-1800 r/min, granting it higher gradeability.
#TataTippers #TataSigna #DeshKeTruck https://t.co/wsIaykd6dH",3
"@Teja_0311 Hi Tejas, thank you for your interest in collaborating with us. Kindly visit our website: https://t.co/fMb1rCsbKZ, and fill up the Passenger Vehicle Dealership Application form. Do get back to us for any other assistance. We’d be glad to help you. 😊",3
"@MotoStories_ Hi, thank you for sharing the above details. However, we also require your contact number, as it will help us to get in touch with you and quickly address your concern.",3
"@Teja_0311 Hi, thank you for writing to us. To locate your nearest dealer, please click the link here: https://t.co/v4cvJhDmnT.",3
"@BinuDac Namaste Vinay, hum aapko horahi samasya ko samajhte hai. Kripya apna contact number aur dealer details DM dwaara share karein, taaki hum aapki sahayata kar sakein. https://t.co/GpX5BQutJH",3
"@MotoStories_ Hi, we're concerned to know about your experience and want to help you with it. Please elaborate on your concern and also share your contact details, car chassis number and dealer information via DM, so that we can better assist with your concern.",3
"@DSChauh54573033 Hi, as per the update received from our team, we understand that an appointment has been scheduled for 8th July for resolving your concern. For any further assistance, we request you to get in touch with them and they will surely help you with it.",3
"Thoughtfully designed features like Individual Lap Seat Belts, Guard Rails with Grab Straps, and Tooth Guards make Tata school buses absolutely safe to travel! With our 25 features dedicated to children safety, every ride in our bus is a safe and comfortable one.
#TataSkoolBus https://t.co/5j56DXOHiM",3
"@ParthJalan Hi Parth, we never want our customers to have such an experience with us. Please share your contact number and the dealer information via DM, so that our team can connect with you to assist further.",3
1000 SOUL Points are up for grabs! Just let the world know the exciting details about SOUL adventures or your favorite SUV features by following the above steps. #DriveWithSOUL https://t.co/fFkgY4CqVo,3
"A high mountain road that’s ancient as the legends, Bara-Lacha Pass is the gateway to Ladakh. Sign up for SOUL Iconic Ladakh Drive today &amp; experience this mighty pass with the brotherhood from 13th - 25th July. 
https://t.co/MizXQzsCxk

#DriveWithSOUL https://t.co/Y547gZmN88",3
"@tuknaits Hi Tuknait, we regret the inconvenience caused and will definitely help you with this. Kindly share your contact details, car chassis number &amp; dealer information via DM, as it will help us to have the relevant team connect with you and assist further.",3
"@_Patient_Bird Hi, we have responded to your concern via DM and shared it with the relevant team.",3
"@_Patient_Bird Hi, we're disappointed to know about the experience you've had. Please share your contact number and dealer details, so that our team can connect with you for quicker assistance.",3
"@mangatinanda Hi Nanda, we never want our customers to have such an experience with us. Please share your contact details, car chassis number and the dealer information via DM, so that our team can connect with you to assist further.",3
"@tuknaits Hi Tuknait, suggestions really help us make the necessary improvements in our products, and we thank you for sharing your feedback. Do let us know if there is anything specific you need our assistance with, and we'd be happy to help! :)",3
"@MrTippler Hi Bhakt, as of now, the Tata Hexa edition only comes equipped with Android Auto integration in its Infotainment System. To know all the latest updates, stay tuned to our website and social media handles. Click here to know more about the Hexa https://t.co/n2nJvhuLdC.",3
"Together with the Hexa and SOUL, the Iconic Ladakh Drive is bound to be a thrilling expedition for Ashish Agarwal. Click the link to join the brotherhood. https://t.co/MizXQzsCxk

#DriveWithSOUL #HexaExperience #AboveAll #ReclaimYourLife https://t.co/pW9D9SXiyO",3
"With INTRA’s 70 HP DI engine more profits are now possible. Ride your way up to success with TATA INTRA. To know more, click here: https://t.co/d1V50kD1fF #TataIntra #Indias1stCompactTruck https://t.co/FcaCTRMQw7",3
"@Sharavana2 Hi Sharavana, we never want our customers to have such an experience with us. Please share your contact details via DM, so that our team can connect with you to assist further. https://t.co/GpX5BQutJH",3
"@Chunmun007 Hi Siddharth, thank you for sharing the requested details. We've highlighted your concern with the relevant team and you can rest assured, that they'll connect with you soon to resolve it at the earliest.",3
"@sathyamurthybha Hi Sathyamurthy, we request you to elaborate on your concern via DM, so that we can soon have the relevant team assist you further.",3
"@Chunmun007 Hi Siddharth, we're disappointed to know about the experience you've had. Please elaborate on your concern and also share your contact information, vehicle chassis number and dealer details via DM, so that we can better assist with your concern.",3
"@Anandaization Hi Anand, we're really delighted to see your love for the Tata Hexa. Keep sharing your #HexaExperience and thoughts with us. We'd be glad to hear them. :)",3
"@polymernanotech Hi, we have shared your issue to the concerned team. They will contact you on priority.",3
"@sanjver19 Hi Sanjay, we completely understand your reason for concern. However, without the requested details we will not be able to forward your concern to the relevant team. We request share your vehicle model &amp; contact details via DM, so that the team can quickly address your concern.",3
"@sathyamurthybha Hi Sathyamurthy, is there anything specific we can assist you with? Please explain your query in detail via DM, and we'd be glad to help.",3
"@VinodKalotra That's an amazing click, Vinod! Keep sharing more pictures and videos of your journeys with the Tata Nexon. ☺",3
"@Santhosh_V_T Hi Santhosh, we're disappointed to know about the experience you've had. Please share your contact number and dealer details via DM, so that our team can connect with you to assist further.",3
"@umashankardhir Hi Uma, we would really like to know what went wrong. Please elaborate on your concern and also share your contact information &amp; vehicle model via DM, so that we can better assist with your concern.",3
"@mohit172000 Hi Mohit, we completely understand your reason for concern. We've forwarded your details to our team, and they will soon connect with you to assist further. We appreciate your cooperation in the meantime.",3
"@felixmjk Hi Felix, as per company policy we cannot disclose any information pertaining to our future product strategies. Stay tuned to our website and social media handles to get the latest updates.",3
"@rksingh1899 Hi, we're disappointed to know about the experience you've had. Please share your contact information, vehicle chassis number and dealer details via DM, so that our team can connect with you for quicker assistance.",3
"@imGBala Hi Ganesh, we have taken up Mr. Gautam's concern and our team is diligently working to get it resolved. You can rest assured that it will be addressed at the earliest.",3
"@a1anshul Hi Anshul, suggestions really help us make the necessary improvements in our products and we thank you for sharing your valuable feedback. It has been shared with the relevant team for further consideration.",3
"@imGBala Hi Ganesh, we would really like to know if there is anything we can assist you with. Please explain your concern in detail and we'd be happy to help.",3
"@mahathepavan Hi Mahathey, is there anything specific we can assist you with? Please explain your concern in detail via DM, and we'd be glad to help.",3
"@brajen1986 This is in tune with the global practices being followed by all major manufacturers. Do get back to us in case you require any further assistance, and we'd be happy to help you. :)",3
