text,label
Pl tell me the Nearest dealership to my residence address to visit for seeing the models available and showroom timings with contact numbers,1
What if I crash this car and cause damage unintentionally? ,1
It car malfunctions will it be replaced ,1
What is going to surprise me as I drive this car? ,1
"Which Dealer is the nearest to my home providing both Sales & Service?
List of nearby Dealerships to be shared.",1
What is the guarantee that the car wont be defective,1
i would like to inquire which cars are available in your store which have been highly rated in the market,1
Can I book the test drive of an automatic and manual at the same time,1
Can I book the test drive of an automatic and manual at the same time,1
"Are the Service stations of the dealers open on Saturdays & Sundays?
Since running of the car is low on a Saturday/ Sunday it becomes the best days of the week to get the car serviced.",1
"Are the Service stations of the dealers open on Saturdays & Sundays?
Since running of the car is low on a Saturday/ Sunday it becomes the best days of the week to get the car serviced.",1
Whether the car has a keyless entry system. Safety against theft. ,1
Could I come back in the evening for a test drive to check the headlights?,1
What is the aftersale service network like of the brand? ,1
"Yes, I will enquire for a availability of a specific model that I am looking out for.",1
I want to know the availability of Model X on showroom and for test drive..can I schedule for test drive pickup from office / residence address ?,1
If car is repaired due to car manufacturing problems then do I get a back up car during that time ,1
What is the most common problem with the car that service department encounters? ,1
Well that depends cause that sort of stuff may enrage the dealer (totally a personal opinion),1
What are the accessories offered on purchase of the car? ,1
on which terrain would i be permitted to drive,1
in case of damages facing the car have i to buy it or pay the minimal repair cost,1
What are the earliest timings available for a test drive ,1
What are the earliest timings available for a test drive ,1
"Are all Service stations equipped to handle mechanical electrical and paint jobs"?,1
"Are all Service stations equipped to handle mechanical electrical and paint jobs"?,1
I want to reschedule my test drive.,1
No nowadays you could buy a car from x dealer and service it at y dealer as per your convenience. ,1
Insurance zero depreciation type is available. Nowadays some manufacturers give this free with a new car. ,1
Could you guide me with features of the car?,1
Would I be taking a test drive on the model I've opted for (since it's usually the top end given for the test drive),1
How is  service network,1
How would it react on different terrains? Specifically Indian roads.,1
what are the losses i would face if the car would suffer some damage,1
"i am looking forward to buy a car, i want to try your dealership for a test drive, what cars do you have available and can you specify to me in detail what makes the car different from others",1
Can I test drive multiple models of the same car in one stretch,1
